"Collection_id","NomorBarcode","Title","Subject"
"213252","0702162211","Fonetik dan fonologi / Suhendra Yusuf","FONETIK"
"213262","0347142211","Fonologi bahasa Indonesia / Abdul Chaer","FONOLOGI"
"220391","0095132211","Teori strukturasi: dasar-dasar pembentukan struktur sosial masyarakat / Anthony Giddens","MASALAH SOSIAL"
"112848","2727111711","Metodologi penelitian sosial : Format-format kuantitatif dan kualitatif / Burhan Bungin","SOCIAL SCIENCES - METHODOLOGY"
"250689","2346191711","Statistika untuk penelitian / Sugiyono","STATISTIC"
"293688","0377251211","Rembulan Tenggelam di Wajahmu / Tere Liye","FIKSI INDONESIA"
"213326","0686122221","Gadis kretek / Ratih Kumala","FIKSI INDONESIA"
"217338","1007LMA08","Pengadilan puisi / Pamusuk Eneste",""
"293633","0293251211","San Francisco / Ziggy Zezsyazeoviennazabrizkie","FIKSI INDONESIA"
"217569","0030122211","Pengantar semantik bahasa Indonesia / Abdul Chaer","SEMANTIK"
"217553","0280142211","Pengantar Semantik / Stephen Ullmann","SEMANTIK"
"274190","00652216111","Nutrisi Ternak Unggas / Sumiati","VETERINARY NUTRITION"
"123618","0194131711","Manajemen Strategi Pemasaran","MARKETING - MANAGEMENT"
"274590","0062222211","Analisis Wacana Kritis :  Menguak Ideologi dalam Wacana / Umar Fauzan","SEMIOTIK"
"210571","0282162211","Analisis wacana kritis / Yoce Aliah Darma","ANALISIS WACANA"
"41680","051790211","Herziening-ganti rugi, suap, perkembangan delik","GANTI RUGI"
"223481","406507112","The outline of science : A Plain story simply told first volume / J.Arthur Thomson","SCIENCE"
"114596","3460111711","Panduan penelitian etnografi komunikasi / Abd. Syukur Ibrahim","COMMUNICATION RESEARCH"
"242721","201119111","Etnografi Komunikasi: Perspektif Bahasa / Dadang S. Anshori","ANTHROPOLOGICAL LINGUISTIC"
"114603","3480111711","Etnografi komunikasi pengantar dan contoh penelitiannya / Engkus Kuswarno","COMMUNICATION METHODS"
"248320","344019211","Analisis semiotika film dan komunikasi / Arif Budi Prasetya","SEMIOTICS"
"287166","00572416212","Probiotics in Aquaculture / Editor Brian Austin","AQUACULTURE PROBIOTOC"
"169553","02641516011","Panduan Lengkap Memelihara Ikan Air Tawar di Kolam Terpal / Ghufran H. Kordi","FRESH WATER FISHES"
"59104","492893211","Tata bahasa baku bahasa Indonesia ","Bahasa Indonesia - Tata bahasa"
"233427","224218211","Sintaksis :  (Memahami Kalimat Tunggal) / Ida Bagus Putrayasa; editor: Nurul Falah Atif","INDONESIAN LANGUAGE-SYNTAX"
"67292","102610211","Dasar-dasar analisis sintaksis / J.D. Parera","INDONESIA LANGUAGE - SYNTAX"
"268774","076521211","Perpajakan :  Edisi : Tax Amnesty / Indra Mahardika Putra; Penyunting : Nurti Lestari","TAX AMNESTY"
"249976","394219211","Saman / Ayu Utami","FICTION"
"247439","299919211","Perempuan di titik nol / Nawal el-Saadawi,","ARABIC LITERATURE"
"73543","218511211","Teori dan hukum konstitusi ","CONSTITUTIONAL LAW"
"46460","129805211","Hukum konstitusi : Proses dan prosedur perubahan UUD di Indonesia 1945 - 2002 serta perbandingannya dengan konstitusi negara lain ","CONSTITUTIONAL LAW"
"60156","129001111","Teori dan politik konstitusi ","constitutions"
"38268","024799211","Hukum Jaminan, hak jaminan kebendaan, hak tanggungan / J. Satrio","HIPOTEK"
"268231","038021111","Hukum Properti :  Karakteristik perjanjian jual beli  properti dengan Sisiem inden / Robensjah Sjachran","PROPERTY LAW"
"126473","090604812","U S Diplomacy Since 1900","UNITED STATES-FOREIGN RELATIONS"
"283924","030124111","Aspek hukum dalam bisnis / Ahmad Rizki Sridadi","BUSINESS LAW - INDONESIA"
"61776","213506211","Aspek hukum dalam bisnis ","BUSINESS LAW - INDONESIA"
"237932","035519211","Hukum Perseroan Terbatas / M. Yahya Harahap","CORPORATE LAW"
"79236","031213111","Prinsip kehati-hatian pada transaksi perbankan ","BANKS AND BANKING"
"245183","244519111","Penelitian Hukum / Peter Mahmud Marzuki","LAW - RESEARCH"
"60057","093306211","Kejahatan dan hukuman ","DETECTIVE AND MYSTERY STORIES"
"212832","110018111","Aroma Karsa / Dee Lestari; penyunting: Dhewiberta","FICTION"
"143361","040813211","Si Parasit Lajang / Ayu Utami","FICTION"
"277235","273922211","Pendidikan Pancasila dan Kewarganegaraan :  Merajut Kebinekaan dalam Menghadapi tantangan Revolusi Industri / Muhammad Ridha Iswardhana","MORAL EDUCATION"
"270937","239121211","Pancasila dan Kewarganegaraan / Jimmy Hasoloan; Ipik Permana; Moh. Sigit Gunawan; Suwarta; Yaya Iskandar; Yanto Heryanto","MORAL EDUCATION -- PANCASILA"
"9721","402111211","Higiene perusahaan dan kesehatan kerja (HIPERKES)","INDUSTRIAL HYGIENE"
"66929","062810211","Pendaftaran dan peralihan hak atas tanah","LAND TENURE - LAW AND LEGISLATION"
"274850","130422111","Sepotong Hati Yang Baru / Tere Liye; Editor In Chief : Teuku Chairul Wisal; Editor : Andriyanti; Cover : Mano Wolvie; Lay Out : Alfian","FICTION"
"286649","206124111","Galaksi Kinanthi :  Sekali Mencintai Sudah Itu Mati ? / Tasaro GK","INDONESIAN-FICTION"
"248214","329119111","Estetika Kata :  Sebuah Antologi Cerpen / Editor : Ichwan Arif, dkk","INDONESIAN FICTION"
"292201","053225111","Penulisan Literature Review dan Systematic Review Pada Pendidikan Keperawatan Kesehatan (Contoh) / Nursalam","LITERATURE REVIEW"
"108132","0209111711","Dasar-dasar penelitian kualitatif Tatalangkah Dan Teknik-teknik Teoritisasi Data","RESARCH METHODOLOGY"
"73056","151311211","Psikologi fenomenologi eksistensial dan humanistik : Suatu survei historis ","PSYHOLOGY"
